DateTime,AddedIPs,RemovedIPs
1538110603,1094,271
1538112562,1536,41
1538114518,1694,238
1538116505,1043,1172
1538118523,30,603
1538120679,111,52
1538122626,55,67
1538124531,64,62
1538126463,73,54
1538128364,96,57
1538130295,74,734
1538132228,68,70
1538134124,58,45
1538136126,56,66
1538137985,49,47
1538139925,61,133
1538141804,135,73
1538143721,65,45
1538145641,50,94
1538147562,57,62
1538149479,573,38
1538151430,900,60
1538153313,153,85
1538155254,82,91
1538157156,53,61
1538159076,192,50
1538161000,640,50
1538162922,248,58
1538164909,57,36
1538166769,728,55
1538168749,1608,69
1538170608,1137,38
1538172529,46,42
1538174457,1179,38
1538176762,2121,52
1538178776,1452,56
1538180678,816,47
1538182609,1313,42
1538184503,574,136
1538186517,885,42
1538188367,242,42
1538190277,1192,1341
1538192216,1744,1547
1538194145,1042,953
1538196037,581,973
1538197975,244,941
1538199874,486,1296
1538201811,555,1341
1538203713,578,248
1538205636,105,23
1538207553,34,78
1538209487,217,45
1538211413,584,75
1538213306,158,40
1538215343,181,30
1538217174,161,27
1538219337,34,52
1538221247,93,31
1538223159,406,32
1538225100,267,28
1538227018,37,45
1538228924,260,94
1538230849,343,27
1538232777,150,28
1538234681,36,62
1538236600,60,229
1538238513,29,214
1538240483,31,54
1538242363,67,54
1538244307,359,36
1538246201,67,178
1538248120,30,270
1538250037,33,44
1538251961,45,36
1538253869,42,630
1538255805,43,1100
1538257709,49,382
1538259639,36,95
1538261579,390,1714
1538263478,567,1439
1538265408,41,1350
1538267304,117,696
1538269286,1024,1081
1538271149,914,379
1538273084,312,472
1538274979,209,63
1538276926,50,1323
1538278851,49,2312
1538280759,152,790
1538282676,490,388
1538284586,132,58
1538286511,349,494
1538288453,510,361
1538290360,184,585
1538292271,42,30
1538294197,672,26
1538296103,340,436
1538298083,441,111
1538299946,107,151
1538301870,61,78
1538303809,70,213
1538305816,103,29
1538307649,38,61
1538309799,54,86
1538311704,29,84
1538313638,48,82
1538315556,60,460
1538317475,50,141
1538319394,128,160
1538321302,45,40
1538323286,33,97
1538325166,81,27
1538327117,39,124
1538328994,107,66
1538330926,199,757
1538332830,177,58
1538334743,64,32
1538336668,35,177
1538338630,40,43
1538340520,34,29
1538342437,38,39
1538344347,43,300
1538346269,52,155
1538348197,39,181
1538350115,29,364
1538352109,534,39
1538353951,1670,77
1538355901,1778,795
1538357785,2074,1218
1538359716,148,723
1538361704,40,240
1538363559,117,85
1538365487,45,54
1538367563,47,487
1538369566,71,426
1538371952,66,352
1538373912,41,636
1538375799,56,444
1538377730,42,51
1538379620,46,160
1538381566,45,1306
1538383464,33,584
1538385418,44,95
1538387302,36,141
1538389270,60,479
1538391169,61,143
1538393188,38,98
1538395318,41,161
1538397161,47,49
1538399134,40,31
1538401015,39,61
1538402920,40,55
1538404844,40,108
1538406776,102,89
1538408677,112,47
1538410613,193,530
1538412515,55,417
1538414428,484,115
1538416364,370,385
1538418271,74,191
1538420193,140,195
1538422138,81,67
1538424124,75,48
1538425966,68,35
1538427948,58,55
1538430052,60,55
1538431958,51,52
1538433888,45,53
1538435815,62,35
1538437718,44,32
1538439653,48,1557
1538441559,564,1866
1538443480,3343,2197
1538445395,3740,812
1538447798,464,131
1538449750,36,144
1538451652,124,39
1538453569,79,46
1538455712,24,64
1538457664,74,51
1538459549,42,42
1538461497,28,70
1538463385,98,50
1538465311,122,42
1538467314,146,36
1538469413,109,47
1538471343,119,27
1538473247,93,26
1538475180,54,39
1538477103,54,68
1538478990,67,32
1538480940,84,45
1538483093,67,44
1538485003,74,34
1538486901,87,43
1538488911,46,43
1538490756,35,28
1538492734,105,92
1538494617,1352,443
1538496571,266,374
1538498446,41,45
1538500383,66,382
1538502289,160,560
1538504208,44,42
1538506133,51,119
1538508043,79,74
1538509964,45,58
1538511868,60,54
1538514101,63,71
1538515955,38,61
1538517885,43,48
1538519783,33,35
1538521743,31,60
1538523651,53,32
1538525571,37,39
1538527475,28,93
1538529421,49,2320
1538531321,35,5183
1538533253,30,2033
1538535160,35,55
1538537081,39,82
1538538999,94,136
1538540916,628,59
1538543133,926,34
1538545021,22,79
1538547205,87,50
1538549090,33,86
1538551004,48,161
1538552926,80,164
1538554845,41,163
1538556769,43,137
1538558694,43,121
1538560608,30,92
1538562511,43,79
1538564505,40,89
1538566401,96,94
1538568353,99,70
1538570448,63,101
1538572348,50,94
1538574298,62,79
1538576191,61,29
1538578111,40,49
1538580047,67,65
1538581967,43,136
1538583882,326,230
1538585812,629,27
1538587712,24,257
1538589701,71,94
1538591564,49,38
1538593545,55,67
1538595386,56,71
1538597320,79,61
1538599483,53,67
1538601414,38,48
1538603313,48,39
1538605233,46,57
1538607160,62,36
1538609085,38,57
1538610994,52,47
1538612919,38,39
1538615095,42,43
1538616992,49,46
1538618919,38,33
1538620843,28,37
1538622752,30,39
1538624693,44,40
1538626602,68,289
1538628512,111,867
1538630421,80,259
1538632335,39,81
1538634276,106,46
1538636209,45,29
1538638122,41,82
1538640092,103,49
1538641968,48,52
1538643872,53,40
1538645808,44,40
1538647732,40,41
1538649658,58,42
1538651591,28,41
1538653484,39,56
1538655677,70,66
1538657561,39,41
1538659486,42,50
1538661438,49,68
1538663301,27,52
1538665309,1205,49
1538667171,1308,1364
1538669124,1231,371
1538671029,77,496
1538672939,105,393
1538674846,42,32
1538676758,79,74
1538678699,109,49
1538680599,94,47
1538682534,60,73
1538684457,96,40
1538686367,46,53
1538688282,60,32
1538690203,43,38
1538692134,47,53
1538694109,48,51
1538695966,79,36
1538697939,263,53
1538699782,282,29
1538701729,197,39
1538703881,215,44
1538705819,39,34
1538707764,55,35
1538709640,31,37
1538711559,42,38
1538713525,48,84
1538715396,90,85
1538717327,97,68
1538719293,35,31
1538721160,35,81
1538723123,79,40
1538724979,40,59
1538726937,48,76
1538728839,74,30
1538731017,52,58
1538732913,51,40
1538734844,56,28
1538736763,33,63
1538738676,65,31
1538740599,41,32
1538742532,40,72
1538744510,44,43
1538746362,46,42
1538748333,51,40
1538750445,69,35
1538752357,44,1587
1538754301,35,1052
1538756203,239,445
1538758354,903,129
1538760294,628,65
1538762210,65,53
1538764247,31,110
1538766116,84,51
1538767983,64,40
1538769910,60,48
1538771813,67,81
1538773714,55,42
1538775655,57,45
1538777574,41,40
1538779473,44,27
1538781405,30,32
1538783340,35,132
1538785254,28,229
1538787178,44,251
1538789143,52,244
1538791041,63,194
1538792957,410,40
1538794910,442,51
1538796769,267,25
1538798682,34,49
1538800620,37,38
1538802548,47,139
1538804588,144,57
1538806880,78,38
1538808775,34,68
1538810677,68,42
1538812614,47,33
1538814513,40,89
1538816508,73,51
1538818359,41,52
1538820328,53,52
1538822225,39,51
1538824117,70,59
1538826031,45,45
1538827966,29,41
1538829888,33,51
1538831794,76,43
1538833972,46,54
1538835886,65,50
1538837803,50,62
1538839706,113,38
1538841693,34,44
1538843566,48,391
1538845521,45,585
1538847386,105,1054
1538849362,107,632
1538851238,59,25
1538853163,29,90
1538855074,96,53
1538857005,53,42
1538858907,63,80
1538860845,69,34
1538862752,48,60
1538864694,58,44
1538866596,32,33
1538868512,66,47
1538870532,46,30
1538872366,53,31
1538874738,364,56
1538876700,1201,49
1538878609,261,32
1538880522,37,47
1538882453,54,42
1538884346,43,27
1538886284,27,41
1538888221,41,51
1538890114,39,119
1538892186,135,63
1538894444,76,38
1538896381,34,70
1538898272,63,44
1538900201,47,35
1538902139,33,81
1538904042,113,49
1538905949,53,61
1538907881,51,37
1538909787,28,35
1538911728,44,27
1538913704,57,48
1538915563,34,28
1538917522,45,71
1538919392,75,45
1538921309,423,36
1538923233,51,39
1538925142,53,48
1538927066,73,112
1538929001,71,72
1538930905,39,55
1538932833,59,151
1538935505,914,944
1538937398,129,215
1538939322,49,34
1538941225,48,79
1538943146,94,56
1538945081,48,42
1538947002,61,79
1538948906,87,38
1538950855,50,65
1538952748,58,36
1538954665,35,56
1538956583,67,48
1538958506,1772,56
1538960493,1877,24
1538962368,1746,1625
1538964285,654,1018
1538966181,42,35
1538968130,30,47
1538970041,42,50
1538971960,105,30
1538973879,35,36
1538975816,3274,34
1538977732,1884,90
1538979894,280,100
1538981792,85,30
1538983721,40,43
1538985696,23,76
1538987545,60,38
1538989464,31,66
1538991651,39,73
1538993554,48,35
1538995488,77,40
1538997409,58,35
1538999307,45,31
1539001253,35,57
1539003153,67,31
1539005091,24,57
1539007030,29,381
1539009156,45,45
1539011143,168,50
1539012990,30,60
1539014967,38,76
1539016836,69,29
1539018747,82,42
1539020687,69,790
1539022610,56,156
1539024531,109,155
1539026707,53,46
1539028596,38,64
1539030529,85,69
1539032896,46,55
1539034848,48,77
1539036773,173,44
1539038702,237,53
1539040623,55,32
1539042515,29,37
1539044455,27,1369
1539046378,37,1882
1539048314,35,1710
1539050215,27,1049
1539052105,41,107
1539054138,23,37
1539055976,33,33
1539057902,45,113
1539059827,36,41
1539061736,63,1340
1539063640,57,3693
1539065850,73,1183
1539067727,101,104
1539069638,45,53
1539071813,27,30
1539073774,49,64
1539075891,40,55
1539078045,25,51
1539079964,53,53
